Scope,Comparison Class,Field,Expected,Actual,Absolute Difference,Canonical Expected,Canonical Actual,Behavioral Match,Status,Explanation
R0_K1 D1 daily portfolio,ROW_AND_KEY_IDENTITY,Policy|Date,2636,2636,0,ALL_KEYS_IDENTICAL,ALL_KEYS_IDENTICAL,True,PASS_EXACT,Exact sorted row count and key membership comparison.
R0_K1 D1 daily portfolio,DISCRETE_BEHAVIOR,Date,ALL_EQUAL,ALL_EQUAL,0,ALL_EQUAL,ALL_EQUAL,True,PASS_EXACT,Discrete fields require exact identity; no tolerance or rounding is allowed.
R0_K1 D1 daily portfolio,DISCRETE_BEHAVIOR,Open Positions,ALL_EQUAL,ALL_EQUAL,0,ALL_EQUAL,ALL_EQUAL,True,PASS_EXACT,Discrete fields require exact identity; no tolerance or rounding is allowed.
R0_K1 D1 daily portfolio,NUMERIC_VALUE,Equity,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,4.99465386383e-07,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D1 daily portfolio,NUMERIC_VALUE,Daily Return %,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,4.32276436868e-12,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D1 daily portfolio,NUMERIC_VALUE,Cash,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,4.79252776131e-07,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D1 daily portfolio,NUMERIC_VALUE,Invested Value,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,5.00003807247e-08,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D1 daily portfolio,NUMERIC_VALUE,Exposure,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,4.99461583203e-13,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D1 daily portfolio,NUMERIC_VALUE,Realized PnL,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,4.76961758977e-09,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D1 daily portfolio,NUMERIC_VALUE,Costs,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,4.99795760334e-11,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R3_K1 D1 daily portfolio,ROW_AND_KEY_IDENTITY,Policy|Date,2636,2636,0,ALL_KEYS_IDENTICAL,ALL_KEYS_IDENTICAL,True,PASS_EXACT,Exact sorted row count and key membership comparison.
R3_K1 D1 daily portfolio,DISCRETE_BEHAVIOR,Date,ALL_EQUAL,ALL_EQUAL,0,ALL_EQUAL,ALL_EQUAL,True,PASS_EXACT,Discrete fields require exact identity; no tolerance or rounding is allowed.
R3_K1 D1 daily portfolio,DISCRETE_BEHAVIOR,Open Positions,ALL_EQUAL,ALL_EQUAL,0,ALL_EQUAL,ALL_EQUAL,True,PASS_EXACT,Discrete fields require exact identity; no tolerance or rounding is allowed.
R3_K1 D1 daily portfolio,NUMERIC_VALUE,Equity,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,4.99683665112e-07,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R3_K1 D1 daily portfolio,NUMERIC_VALUE,Daily Return %,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,4.74376093962e-12,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R3_K1 D1 daily portfolio,NUMERIC_VALUE,Cash,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,4.94692358188e-07,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R3_K1 D1 daily portfolio,NUMERIC_VALUE,Invested Value,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,5.00003807247e-08,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R3_K1 D1 daily portfolio,NUMERIC_VALUE,Exposure,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,4.9998893914e-13,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R3_K1 D1 daily portfolio,NUMERIC_VALUE,Realized PnL,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,4.8480615078e-09,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R3_K1 D1 daily portfolio,NUMERIC_VALUE,Costs,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,4.9872994623e-11,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
