Feature Name,Feature Group,Data Type,Source,Formula / Description,As-Of Semantics,Point-In-Time Safe,ML Allowed,Reason if ML Disallowed,Missing Value Meaning,Known Ambiguity,Stage Source
20 DMA,STOCK_TREND,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
200 DMA,STOCK_TREND,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
50 DMA,STOCK_TREND,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
ADX,MOMENTUM,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
ATR,VOLATILITY,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Actionability Score,RULE_ENGINE_DERIVED_FEATURES,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,SIGNAL SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
Current Close,STOCK_TREND,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Current MAE Conservative To Date,TRADE_STATE,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,Entry-bar OHLC excluded,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Current MFE Conservative To Date,TRADE_STATE,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,Entry-bar OHLC excluded,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Current Market Regime,MARKET_CONTEXT,str,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Current NIFTY ADX,MARKET_CONTEXT,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Current NIFTY ATR %,MARKET_CONTEXT,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Current NIFTY Close,MARKET_CONTEXT,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Current NIFTY Daily RSI,MARKET_CONTEXT,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
Current NIFTY Daily ST Direction,MARKET_CONTEXT,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
