Scope,Comparison Class,Field,Expected,Actual,Absolute Difference,Canonical Expected,Canonical Actual,Behavioral Match,Status,Explanation
R0_K1 D1 trade ledger,ROW_AND_KEY_IDENTITY,Policy|Signal ID,249,249,0,ALL_KEYS_IDENTICAL,ALL_KEYS_IDENTICAL,True,PASS_EXACT,Exact sorted row count and key membership comparison.
R0_K1 D1 trade ledger,DISCRETE_BEHAVIOR,Ticker,ALL_EQUAL,ALL_EQUAL,0,ALL_EQUAL,ALL_EQUAL,True,PASS_EXACT,Discrete fields require exact identity; no tolerance or rounding is allowed.
R0_K1 D1 trade ledger,DISCRETE_BEHAVIOR,Signal Date,ALL_EQUAL,ALL_EQUAL,0,ALL_EQUAL,ALL_EQUAL,True,PASS_EXACT,Discrete fields require exact identity; no tolerance or rounding is allowed.
R0_K1 D1 trade ledger,DISCRETE_BEHAVIOR,Entry Date,ALL_EQUAL,ALL_EQUAL,0,ALL_EQUAL,ALL_EQUAL,True,PASS_EXACT,Discrete fields require exact identity; no tolerance or rounding is allowed.
R0_K1 D1 trade ledger,DISCRETE_BEHAVIOR,Exit Date,ALL_EQUAL,ALL_EQUAL,0,ALL_EQUAL,ALL_EQUAL,True,PASS_EXACT,Discrete fields require exact identity; no tolerance or rounding is allowed.
R0_K1 D1 trade ledger,DISCRETE_BEHAVIOR,Exit Reason,ALL_EQUAL,ALL_EQUAL,0,ALL_EQUAL,ALL_EQUAL,True,PASS_EXACT,Discrete fields require exact identity; no tolerance or rounding is allowed.
R0_K1 D1 trade ledger,DISCRETE_BEHAVIOR,Quantity,ALL_EQUAL,ALL_EQUAL,0,ALL_EQUAL,ALL_EQUAL,True,PASS_EXACT,Discrete fields require exact identity; no tolerance or rounding is allowed.
R0_K1 D1 trade ledger,DISCRETE_BEHAVIOR,Daily K,ALL_EQUAL,ALL_EQUAL,0,ALL_EQUAL,ALL_EQUAL,True,PASS_EXACT,Discrete fields require exact identity; no tolerance or rounding is allowed.
R0_K1 D1 trade ledger,DISCRETE_BEHAVIOR,Same-Date Candidate Count,ALL_EQUAL,ALL_EQUAL,0,ALL_EQUAL,ALL_EQUAL,True,PASS_EXACT,Discrete fields require exact identity; no tolerance or rounding is allowed.
R0_K1 D1 trade ledger,NUMERIC_VALUE,Executed Entry,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,2.72830220638e-08,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D1 trade ledger,NUMERIC_VALUE,Executed Exit,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,5.00003807247e-08,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D1 trade ledger,NUMERIC_VALUE,Gross PnL,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,4.40627445641e-09,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D1 trade ledger,NUMERIC_VALUE,Costs,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,4.99298380419e-11,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D1 trade ledger,NUMERIC_VALUE,Net PnL,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,4.77621142636e-09,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D1 trade ledger,NUMERIC_VALUE,R Multiple,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,4.79749573401e-12,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D1 trade ledger,NUMERIC_VALUE,Net R,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,4.79749573401e-12,ALL_EQUAL,ALL_EQUAL,True,PASS_SERIALIZATION_ONLY,Frozen Stage 4A.2 parity artifacts define numeric identity by the six-decimal serialized delta; the canonical delta is exactly zero and the full-precision delta is retained as a diagnostic.
R0_K1 D1 trade ledger,NUMERIC_VALUE,Bars Held,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,0,ALL_EQUAL,ALL_EQUAL,True,PASS_EXACT,Full-precision numeric values are exactly identical.
R0_K1 D1 trade ledger,NUMERIC_VALUE,Holding Sessions,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,0,ALL_EQUAL,ALL_EQUAL,True,PASS_EXACT,Full-precision numeric values are exactly identical.
R0_K1 D1 trade ledger,NUMERIC_VALUE,Selection Rank,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,0,ALL_EQUAL,ALL_EQUAL,True,PASS_EXACT,Full-precision numeric values are exactly identical.
R0_K1 D1 trade ledger,NUMERIC_VALUE,Selection Score,FULL_FROZEN_REFERENCE_COLUMN,FULL_CURRENT_REPLAY_COLUMN,0,ALL_EQUAL,ALL_EQUAL,True,PASS_EXACT,Full-precision numeric values are exactly identical.
R3_K1 D1 trade ledger,ROW_AND_KEY_IDENTITY,Policy|Signal ID,249,249,0,ALL_KEYS_IDENTICAL,ALL_KEYS_IDENTICAL,True,PASS_EXACT,Exact sorted row count and key membership comparison.
R3_K1 D1 trade ledger,DISCRETE_BEHAVIOR,Ticker,ALL_EQUAL,ALL_EQUAL,0,ALL_EQUAL,ALL_EQUAL,True,PASS_EXACT,Discrete fields require exact identity; no tolerance or rounding is allowed.
R3_K1 D1 trade ledger,DISCRETE_BEHAVIOR,Signal Date,ALL_EQUAL,ALL_EQUAL,0,ALL_EQUAL,ALL_EQUAL,True,PASS_EXACT,Discrete fields require exact identity; no tolerance or rounding is allowed.
