Dataset,Label Name,Label Family,Description,Model Task Type,Target Condition,Applicability Rule,Availability Date Column,Status Column,Data-End Censoring Column,Unavailable Reason Column,Ambiguity Semantics,Horizon Count Semantics,ML Input Allowed,Legacy Alias Of
d1_position_day,D1_EXIT_NEXT_SESSION,D1_FINAL_OUTCOME,Final frozen D1 outcome from current completed session,CLASSIFICATION,,Position-day row exists,D1_LABEL_AVAILABLE_DATE,D1_FINAL_STATUS,D1_FINAL_DATA_END_CENSORED,D1_FINAL_UNAVAILABLE_REASON,CONSERVATIVE_STOP_FIRST,COMPLETED_MANAGEMENT_SESSION,False,
d1_position_day,D1_REMAINING_NET_R,D1_FINAL_OUTCOME,Final frozen D1 outcome from current completed session,REGRESSION,,Position-day row exists,D1_LABEL_AVAILABLE_DATE,D1_FINAL_STATUS,D1_FINAL_DATA_END_CENSORED,D1_FINAL_UNAVAILABLE_REASON,CONSERVATIVE_STOP_FIRST,COMPLETED_MANAGEMENT_SESSION,False,
d1_position_day,NEXT_10_SESSION_MAE,POSITION_DAY_FORWARD_PATH,Next-10-session MAE from completed management close,REGRESSION,,Position-day row exists,NEXT_10_SESSION_LABEL_AVAILABLE_DATE,NEXT_10_SESSION_STATUS,NEXT_10_SESSION_DATA_END_CENSORED,NEXT_10_SESSION_UNAVAILABLE_REASON,,AFTER_MANAGEMENT_N_SESSIONS,False,
d1_position_day,NEXT_10_SESSION_MFE,POSITION_DAY_FORWARD_PATH,Next-10-session MFE from completed management close,REGRESSION,,Position-day row exists,NEXT_10_SESSION_LABEL_AVAILABLE_DATE,NEXT_10_SESSION_STATUS,NEXT_10_SESSION_DATA_END_CENSORED,NEXT_10_SESSION_UNAVAILABLE_REASON,,AFTER_MANAGEMENT_N_SESSIONS,False,
d1_position_day,NEXT_10_SESSION_RETURN,POSITION_DAY_FORWARD_PATH,Next-10-session RETURN from completed management close,REGRESSION,,Position-day row exists,NEXT_10_SESSION_LABEL_AVAILABLE_DATE,NEXT_10_SESSION_STATUS,NEXT_10_SESSION_DATA_END_CENSORED,NEXT_10_SESSION_UNAVAILABLE_REASON,,AFTER_MANAGEMENT_N_SESSIONS,False,
d1_position_day,NEXT_20_SESSION_MAE,POSITION_DAY_FORWARD_PATH,Next-20-session MAE from completed management close,REGRESSION,,Position-day row exists,NEXT_20_SESSION_LABEL_AVAILABLE_DATE,NEXT_20_SESSION_STATUS,NEXT_20_SESSION_DATA_END_CENSORED,NEXT_20_SESSION_UNAVAILABLE_REASON,,AFTER_MANAGEMENT_N_SESSIONS,False,
d1_position_day,NEXT_20_SESSION_MFE,POSITION_DAY_FORWARD_PATH,Next-20-session MFE from completed management close,REGRESSION,,Position-day row exists,NEXT_20_SESSION_LABEL_AVAILABLE_DATE,NEXT_20_SESSION_STATUS,NEXT_20_SESSION_DATA_END_CENSORED,NEXT_20_SESSION_UNAVAILABLE_REASON,,AFTER_MANAGEMENT_N_SESSIONS,False,
d1_position_day,NEXT_20_SESSION_RETURN,POSITION_DAY_FORWARD_PATH,Next-20-session RETURN from completed management close,REGRESSION,,Position-day row exists,NEXT_20_SESSION_LABEL_AVAILABLE_DATE,NEXT_20_SESSION_STATUS,NEXT_20_SESSION_DATA_END_CENSORED,NEXT_20_SESSION_UNAVAILABLE_REASON,,AFTER_MANAGEMENT_N_SESSIONS,False,
d1_position_day,NEXT_5_SESSION_MAE,POSITION_DAY_FORWARD_PATH,Next-5-session MAE from completed management close,REGRESSION,,Position-day row exists,NEXT_5_SESSION_LABEL_AVAILABLE_DATE,NEXT_5_SESSION_STATUS,NEXT_5_SESSION_DATA_END_CENSORED,NEXT_5_SESSION_UNAVAILABLE_REASON,,AFTER_MANAGEMENT_N_SESSIONS,False,
d1_position_day,NEXT_5_SESSION_MFE,POSITION_DAY_FORWARD_PATH,Next-5-session MFE from completed management close,REGRESSION,,Position-day row exists,NEXT_5_SESSION_LABEL_AVAILABLE_DATE,NEXT_5_SESSION_STATUS,NEXT_5_SESSION_DATA_END_CENSORED,NEXT_5_SESSION_UNAVAILABLE_REASON,,AFTER_MANAGEMENT_N_SESSIONS,False,
