Dataset,Feature Name,Feature Group,Data Type,Source,Formula / Description,As-Of Semantics,Point-In-Time Safe,ML Allowed,Reason if ML Disallowed,Missing Value Meaning,Known Ambiguity,Stage Source
d1_position_day,ADX,MOMENTUM,float64,Frozen Stage 2.2.2 candidate,Point-in-time value known at the completed signal-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history or no legitimate frozen trade level,,Stage 2.1 / Stage 2.2.2 Final / Stage 3 deterministic rolling enrichment
d1_position_day,ATR,VOLATILITY,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Current Close,STOCK_TREND,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Current MAE Conservative To Date,TRADE_STATE,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,Entry-bar OHLC excluded,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Current MFE Conservative To Date,TRADE_STATE,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,Entry-bar OHLC excluded,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Current Market Regime,MARKET_CONTEXT,str,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Current NIFTY ADX,MARKET_CONTEXT,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Current NIFTY ATR %,MARKET_CONTEXT,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Current NIFTY Close,MARKET_CONTEXT,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Current NIFTY Daily RSI,MARKET_CONTEXT,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Current NIFTY Daily ST Direction,MARKET_CONTEXT,int64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
d1_position_day,Current NIFTY Drawdown 252D %,MARKET_CONTEXT,float64,Independent frozen D1 shadow state,State known at the completed management-session close,COMPLETED MANAGEMENT SESSION CLOSE,True,True,,Insufficient prior history,,Stage 2B.1 D1_TRAIL_ONLY / frozen Stage 2.1 features / Stage 3 state calculation
